PyPSA-Eur technology,ppm_fueltype,ppm_technology,ppm_set,parameter,source,reference,unit,comment
offwind,,,,lifetime,REMIND,windoff,,
offwind,,,,VOM,fixed,0,USD/MWh,No VOM for wind technologies
offwind-ac-connection-submarine,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
offwind-ac-connection-submarine,,,,efficiency,fixed,1,p.u.,Process without direct losses
offwind-ac-connection-submarine,,,,FOM,fixed,0,%/year,No corresponding technology in REMIND-EU; connection costs already included in offwind investment
offwind-ac-connection-submarine,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
offwind-ac-connection-submarine,,,,investment,fixed,0,USD/MW/km,Connection costs already included in REMIND offwind investment
offwind-ac-connection-submarine,,,,lifetime,fixed,1,years,Dummy value
offwind-ac-connection-submarine,,,,VOM,fixed,0,USD/MWh,No VOM
offwind-ac-connection-underground,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
offwind-ac-connection-underground,,,,efficiency,fixed,1,p.u.,Process without direct losses
offwind-ac-connection-underground,,,,FOM,fixed,0,%/year,No corresponding technology in REMIND-EU; connection costs already included in offwind investment
offwind-ac-connection-underground,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
offwind-ac-connection-underground,,,,investment,fixed,0,USD/MW/km,Connection costs already included in REMIND offwind investment
offwind-ac-connection-underground,,,,lifetime,fixed,1,years,Dummy value
offwind-ac-connection-underground,,,,VOM,fixed,0,USD/MWh,No VOM
offwind-ac-station,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
offwind-ac-station,,,,efficiency,fixed,1,p.u.,Process without direct losses
offwind-ac-station,,,,FOM,fixed,0,%/year,No corresponding technology in REMIND-EU; connection costs already included in offwind investment
offwind-ac-station,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
offwind-ac-station,,,,investment,fixed,0,USD/MW,Connection costs already included in REMIND offwind investment
offwind-ac-station,,,,lifetime,fixed,1,years,Dummy value
offwind-ac-station,,,,VOM,fixed,0,USD/MWh,No VOM
oil,Oil,,,CO2 intensity,REMIND,dot,,
oil,Oil,,,efficiency,REMIND,dot,,
oil,Oil,,,FOM,REMIND,dot,,
oil,Oil,,,fuel,REMIND,peoil,,
oil,Oil,,,investment,REMIND,dot,,
oil,Oil,,,lifetime,REMIND,dot,,
oil,Oil,,,VOM,REMIND,dot,,
onwind,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
onwind,,,,efficiency,REMIND,windon,,
onwind,,,,FOM,REMIND,windon,,
onwind,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
onwind,,,,investment,REMIND,windon,,
onwind,,,,lifetime,REMIND,windon,,
onwind,,,,VOM,fixed,0,USD/MWh,No VOM for wind technologies
PHS,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
PHS,,,,efficiency,REMIND,hydro,,
PHS,,,,FOM,PyPSA-Eur,,,
PHS,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
PHS,,,,investment,PyPSA-Eur,,,
PHS,,,,lifetime,PyPSA-Eur,,,
PHS,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
ror,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
ror,,,,efficiency,REMIND,hydro,,
ror,,,,FOM,PyPSA-Eur,,,
ror,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
ror,,,,investment,PyPSA-Eur,,,
ror,,,,lifetime,PyPSA-Eur,,,
ror,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
solar,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
solar,,,,efficiency,REMIND,spv,,
